activity,address,mail,name,phone,website
"AGRICULTURE, PRODUCTS", BP. 8457 ANTANANARIVO   ,cartiel@moov.mg,CARTIEL,(+261) 202 23 29 21 (+261) 202 23 30 68,
"AGRICULTURE, PRODUCTS", BP. 5285 ANTANANARIVO   ,continental.auto@moov.mg,CONTINENTAL AGROCHIMIE,(+261) 202 26 44 42 (+261) 202 26 44 40,www.agrobp.com    
"AGRICULTURE, PRODUCTS", LOT 0914 A 12 SAHAROALOHA ANTSIRABE   ,eramadagascar@gmail.com,ERA MADAGASCAR,(+261) 34 72 429 42,
"AGRICULTURE, PRODUCTS", LOT VB 54 AMBATUNAKANGA ANTANANARIVO    ,info@hdlglobal.co.in,HDL GLOBAL,(+261) (91) 99 98 80 00 07,
"AGRICULTURE, PRODUCTS", PLLE 12 21 22 ANALANKINININA HOPITALY BE TAMATAVE    ,kautilyacommodities@gmail.com,KAUTILYA COMMODITIES,(+261) 33 79 363 09,
"AGRICULTURE, PRODUCTS"," RUE PAVE, AMBONDRONA, R ANTALAHA SAVA    ",managercommunity312@gmail.com,LA VANILLE MADAGASCAR,(+261) 32 87 289 15,
"AGRICULTURE, PRODUCTS", BP. 8271 ANTANANARIVO   ,pv@agrichimad.mg,POINT VERT,(+261) 202 36 64 41 (+261) 202 32 52 59,www.hdlglobal.co.in    
CARS & DEALERS, BP. 28 ANTANANARIVO   ,fraise@moov.mg,HENRI FRAISE FILS & C°,(+261) 202 22 27 21 (+261) 202 22 91 23,www.continental-auto.mg    
CARS & DEALERS, TSARALALANA ANTANANARIVO   ,,HOBBY SOA,(+261) 202 23 91 79,
CARS & DEALERS, BP. 429 ANTANANARIVO   ,tsf.com@moov.mg,INTERAUTO,(+261) 202 24 54 13 (+261) 202 22 65 40,
CARS & DEALERS, ANKORONDRANO ANTANANARIVO   ,,JAPAN MOTORS,(+261) 202 26 44 40 (+261) 202 26 44 40,
CARS & DEALERS, BP. 633 101 ANTANANARIVO   ,landismg@moov.mg,LANDIS MADAGASCAR,(+261) 202 26 20 12 (+261) 202 23 37 48,
CARS & DEALERS, BP. 350 ANTANANARIVO    ,info@madauto.mg,MADAGASCAR AUTOMOBILE,(+261) 20 23 254 54 (+261) 20 23 333 26,www.madauto.com    
"AGRICULTURE, PRODUCTS", BP. 134 ANTANANARIVO   ,,SACOA,(+261) 202 22 55 63 (+261) 202 26 53 15,
FOOD-PROCESSING INDUSTRY, LOT IP 6 ISOTRY ANTSINANANA ANTANANANARIVO   ,logistique.itr@adamas.mg,ADAMAS MADAGASCAR,(+261) 034 05 614 09,
FOOD-PROCESSING INDUSTRY, BP. 1153 ANTANANARIVO    ,info@agricogroup.com,AGRICO GROUPE,(+261) 202 23 24 99 (+261) 202 22 69 21,
FOOD-PROCESSING INDUSTRY, BP. 726 ANTANANARIVO   ,gfn@trimeta.malagasy.com,BIOSAVE,(+261) 202 22 87 25 (+261) 202 22 87 31,www.agricogroup.com    
FOOD-PROCESSING INDUSTRY, BP. 16 ANTANANARIVO   ,bongou@moov.mg,BONGOU,(+261) 202 24 40 85 (+261) 202 24 41 05,
FOOD-PROCESSING INDUSTRY, BP. 1426 ANTANANARIVO   ,codal@moov.mg,CODAL,(+261) 202 22 34 24 (+261) 202 22 47 44,
FOOD-PROCESSING INDUSTRY," LOT 29, CITE 67 HA SUD ANTANANARIVO    ",coin_foiegras_tana@yahoo.fr,COIN DU FOIE GRAS,(+261) 33 11 239 49 (+261) 34 11 239 49,
FOOD-PROCESSING INDUSTRY, BP. 113 SAMBAVA   ,afh@simicro.mg,FIROZEHOUSSEN,(+261) 208 89 20 63 (+261) 208 89 20 95,
AGRO-INDUSTRY, CITE BRGM ANTANANARIVO    ,agromoco@moov.mg,AGROMOCO,(+261) 202 26 54 28 (+261) 202 22 37 58,
AGRO-INDUSTRY, BP. 16 ANTANANARIVO   ,bongou@moov.mg,BONGOU,(+261) 202 24 40 85 (+261) 202 24 41 05,www.agromoco-mada.com    
AGRO-INDUSTRY, BP. 113 SAMBAVA   ,afh@simicro.mg,FIROZEHOUSSEN,(+261) 208 89 20 63 (+261) 208 89 20 95,
FOOD-PROCESSING INDUSTRY, ANTANANARIVO   ,afh@simicro.mg,FIROZEHOUSSEN,(+261) 202 23 83 13 (+261) 202 26 42 70,www.mada-pages.com/details/coin-du-foie-gras.html    
FOOD-PROCESSING INDUSTRY, ANTANANARIVO   ,,GERMAIN,(+261) 202 22 02 60 (+261) 202 22 03 32,
FOOD-PROCESSING INDUSTRY, BP. 207 ANTANANARIVO   ,jb@basan.mg,JB OIM groupe basan,(+261) 202 22 23 73 (+261) 202 22 80 64,
AGRO-INDUSTRY, ANTANANARIVO   ,afh@simicro.mg,FIROZEHOUSSEN,(+261) 202 23 83 13 (+261) 202 26 42 70,
AGRO-INDUSTRY," 19, RUE ALBERTINI ANTANANARIVO   ",soran@moov.mg,GROUPE SORAN,(+261) 202 22 05 05 (+261) 202 22 05 06,
AGRO-INDUSTRY, BP. 11062 ANTANANARIVO    ,la.landaise@simicro.mg,LA LANDAISE,(+261) 202 24 80 25 (+261) 202 24 80 24,
AGRO-INDUSTRY, BP. 207 ANTANANARIVO   ,lecofruit@olmjb.com,LECOFRUIT,(+261) 202 22 23 73 (+261) 202 22 80 64,
AGRO-INDUSTRY, ANKORONDRANO ANTANANARIVO   ,nestleseatrading@iris.mg,NESTLE SEA TRADING,(+261) 202 24 29 80 (+261) 202 24 29 48,www.lalandaise.com    
AGRO-INDUSTRY, BP. 96 208 SAMBAVA    ,contact@soavoanio.mg,SOAVOANIO,(+261) 208 89 66 35 (+261) 208 89 67 30,
AGRO-INDUSTRY, BP. 4297 ANTANANARIVO   ,suntesis@moov.mg,SUNTHESIS,(+261) 202 24 53 41 (+261) 202 24 52 73,
ASSOCIATIONS, AMBOSITRA   ,cite-ambalavao@moov.mg,ADITE FITARIKANDRO,(+261) 204 77 15 55,
ASSOCIATIONS, PLACE DU MARCHE AMBATOLAMPY   ,cite-ambatolampy@moov.mg,ADITE MANAMPY,(+261) 204 24 93 09,
ASSOCIATIONS, AMBOHIMIANDRISOA ANTSIRABE   ,torohay@moov.mg,ADITE OROHAY,(+261) 204 44 92 49,
ASSOCIATIONS, PLACE DU MARCHE AMBALAVAO   ,ambalavao@moov.mg,ADITE TOVOSOA,(+261) 207 33 40 71,
ASSOCIATIONS, RTE TOAMASINA ANTANANARIVO   ,,ASSOCIATION AKAMASOA,(+261) 202 27 00 19 (+261) 202 27 00 19,
AGRICULTURE, ANDAVAMAMBA ANTANANARIVO   ,pmmo@moov.mg,ABAMAD,(+261) 202 26 07 73 (+261) 202 26 07 73,
AGRICULTURE, BP. 8271 ANTANANARIVO   ,commercial@agrichimad.com,AGRICOM,(+261) 202 35 84 94 (+261) 202 32 52 59,
AGRICULTURE, BP. 8271 ANTANANARIVO    ,commercial@agrichimad.mg,AGRICULTURE CHIMIE MADAGASCAR,(+261) 202 25 84 94 (+261) 202 22 52 59,
AGRICULTURE, BELANITRA ANKADIKELY ILAFY ANTANANARIVO   ,hantaniaina.lydia@gmail.com,AGRICULTURE RURALE,(+261) 33 82 998 64,www.3dmadagascar.com/acm    
AGRICULTURE, BP. 6278 ANTANANARIVO   ,acm@moov.mg,AGRIMAD,(+261) 202 27 95 74 (+261) 202 26 96 29,
AGRICULTURE, BP. 11107 101 ANTANANARIVO   ,agrivet@smtp.com.mg,AGRIVET,(+261) 202 25 83 74 (+261) 202 25 83 75,
AGRICULTURE, BP. 5092 ANTANANARIVO    ,anae@moov.mg,ANAE,(+261) 202 26 80 36 (+261) 202 25 27 53,
AGRICULTURE, BP. 05 MORONDAVA 619    ,contact@tsarafototra.mg,FERME DE TSARAFOTOTRA,(+261) 20 95 922 41,
AGRICULTURE, BP. 4170 ANTANANARIVO   ,societe_fiavama@moov.mg,FIAVAMA,(+261) 202 23 01 44 (+261) 202 22 55 00,www.anae-mg.org    
AGRICULTURE, BP. 1189 101 ANTANANARIVO   ,pdmmo@moov.mg,PDMMO,(+261) 202 27 02 24,
"AGRICULTURAL, INDUSTRIES", ANDRONONOBE ANKADIKELY ILAFY LOT II 43 A ANTANANARIVO   ,agrifoodentreprise@gmail.com,AGRIFOODMADA,(+261) 32 89 360 59,
"AGRICULTURAL, INDUSTRIES", LOT 338 P 11/57 ANKIRIHIRY NORD TOAMASINA    ,ed.manu@yahoo.fr,MADETRADES MADAGASCAR,(+261) 33 02 292 30,
"AGRICULTURAL, CHEMICALS", BP. 3438 101 ANTANANARIVO    ,media@guanomad.com,GUANOMAD,(+261) 202 42 60 65 (+261) 202 26 40 83,
"AGRICULTURAL, CHEMICALS", ... ANTANANARIVO   ,spci@moov.mg,SPCI,(+261) 20 22 325 55 (+261) 20 22 321 11,www.guanomad.com    
"AGRICULTURAL, EQUIPMENTS & PRODUCTS", ANDRONONOBE ANALAMAHINTSY ANTANANARIVO   ,agrifoodentreprise@gmail.com,AGRIFOOD,(+261) 34 13 687 77,
"AGRICULTURAL, EQUIPMENTS & PRODUCTS", RTE ANTSIRABE ANTANANARIVO    ,agrobp@agrobp.com,AGRO B & P CONSEIL,(+261) 03 31 13 97 64 (+261) 202 23 46 76,
"AGRICULTURAL, EQUIPMENTS & PRODUCTS", BP. 167 FORT DAUPHIN    ,harilalaina.rasoanirina@bolidaoi.com,BOLIDA OCEAN INDIEN,(+261) 32 03 044 60,www.agrobp.com    
"AGRICULTURAL, EQUIPMENTS & PRODUCTS"," B 13 LONGCHENG PLAZA, IVATO AEROPORT ANTANANARIVO    ",cicmamada@hotmail.com,C.I.C.M.A MADAGASCAR,(+261) 34 05 155 05,
SOCIAL SECURITY, ... ANTSIRABE   ,sagsureteservice@gmail.com,SAG,(+261) 33 85 213 15,
"AGRICULTURAL, EQUIPMENTS & PRODUCTS", B13 LONGCHENG PLAZA HORIZON IVATO ANTANANARIVO    ,cicmamada@hotmail.com,CICMA MADA,(+261) 34 05 155 05,www.bolidaoi.com    
"AGRICULTURAL, EQUIPMENTS & PRODUCTS", ANDRAINARIVO ANTANANARIVO   ,,CSEVENTS,(+261) 202 24 13 82 (+261) 202 24 16 11,
"AGRICULTURAL, EQUIPMENTS & PRODUCTS", BP. 444 TOAMASINA   ,frigota@moov.mg,FRIGOTA,(+261) 205 33 33 98 (+261) 205 33 33 99,www.cicma.fr    
"AGRICULTURAL, EQUIPMENTS & PRODUCTS", BP. 28 ANTANANARIVO   ,fraise@moov.mg,HENRI FRAISE FILS & C°,(+261) 202 22 27 21 (+261) 202 22 91 23,
"AGRICULTURAL, EQUIPMENTS & PRODUCTS", BP. 226 ANTANANARIVO    ,iframacmada@blueline.mg,IFRAMAC MADAGASCAR,(+261) 202 42 68 45 (+261) 202 42 67 85,www.cicma.fr    
"AGRICULTURAL, EQUIPMENTS & PRODUCTS"," LOT II 40, BIS AMPANDRANA OUEST ANTANANARIVO    ",madspices@blueline.mg,MAD SPICES,(+261) 334 19 21 49,
O.N.G & INTERNATIONAL ORGANIZATIONS, LA HAUTE VILLE AMBOHIPOTSY LOT VW 44 ANTANANARIVO   ,actcabinet@gmail.com,ACTION & CONSEIL POUR TOUS,(+261) 32 82 090 97,
O.N.G & INTERNATIONAL ORGANIZATIONS, BP. 3793 ANTANANARIVO   ,,ADERM,(+261) 202 22 10 32 (+261) 202 22 77 24,
O.N.G & INTERNATIONAL ORGANIZATIONS, BP. 557 ANTANANARIVO    ,afd@simicro.mg,AFD,(+261) 202 22 00 46 (+261) 202 23 47 94,www.afd.fr    
O.N.G & INTERNATIONAL ORGANIZATIONS," 6, RUE RAVELOARY ANTANANARIVO   ",,ANDREW LEES TRUST,(+261) 202 22 62 81,
O.N.G & INTERNATIONAL ORGANIZATIONS, BP. 8349 ANTANANARIVO   ,,AUPELF UREF,(+261) 202 23 18 12,www.ongcfm.uphero.com    
NATIONAL SERVICES, BP. 8237 ANTANANARIVO   ,,OMAPI,(+261) 202 23 35 02 (+261) 202 26 59 79,
NATIONAL SERVICES, BP. 17B ANTANANARIVO    ,omda@moov.mg,OMDA,(+261) 202 23 08 53 (+261) 202 22 94 97,www.omda.mg    
NATIONAL SERVICES, BP. 99991 101 ANTANANARIVO    ,omert@moov.mg,OMERT,(+261) 202 24 21 19 (+261) 202 32 15 16,
NATIONAL SERVICES, BP. 7598 ANTANANARIVO    ,omh.siege@omh.mg,OMH,(+261) 202 22 27 98 (+261) 202 22 47 58,www.omert.mg    
NATIONAL SERVICES, BP. 1BIS 101 ANTANANARIVO   ,omnis@simicro.mg,OMNIS,(+261) 202 22 44 39 (+261) 202 22 29 85,
NATIONAL SERVICES, BP. 822 101 ANTANANARIVO    ,one@pnae.mg,ONE,(+261) 202 22 59 99 (+261) 202 23 06 93,www.omh.mg    
NATIONAL SERVICES, ANTANINARENINA ANTANANARIVO   ,ortana2006@yahoo.fr,ORTANA,(+261) 202 43 04 84,
"DATA PROCESSING, EXPERT"," 5TH FLOOR, ASSIT BUILDING IVANDRY ANTANANARIVO   ",contact@2mi.mg,2MI,(+261) 202 25 24 54 (+261) 202 25 24 98,
"DATA PROCESSING, EXPERT", ISORAKA 101 ANTANANARIVO    ,axius@axiusmada.com,AXIUS GROUP MADAGASCAR,(+261) 202 25 67 27,
"DATA PROCESSING, EXPERT"," 15BIS, RUE LUMUMBA ANTANANARIVO   ",blanbir@moov.mg,BLANCHE BIRGER,(+261) 202 22 28 02 (+261) 202 22 79 01,www.axiusmada.com    
"DATA PROCESSING, EXPERT", BP. 252 ANTANANARIVO    ,bullmad@bull.mg,BULL MADAGASCAR,(+261) 202 22 24 07 (+261) 202 22 33 73,
"DATA PROCESSING, EXPERT", LOT K 4 104 BIS IVATO ANTANANARIVO    ,responsable@cameleonmicro.com,CAMELEONMICRO,(+261) 34 209 00 47,
"DATA PROCESSING, EXPERT", BP. 8515 ANTANANARIVO    ,s.raholimanitra@etechconsulting-mg.com,ETECH,(+261) 20 22 536 04,www.bull.com    
"DATA PROCESSING, EXPERT", VILLAGE DES JEUX ANTANANARIVO   ,tfontain@moov.mg,IBS,(+261) 202 26 20 16 (+261) 202 26 20 55,
"DATA PROCESSING, EXPERT"," NOUVEL IMMEUBLE NY HAVANA, VILLAGE DES JEUX ANKORONDRANO ANTANANARIVO    ",contact.mg@groupe-sra.fr,INTERFACE TECHNOLOGIE - GROUPE SRA,(+261) 20 22 693 43 (+261) 20 22 693 58,www.cameleonmicro.net    
"DATA PROCESSING, EXPERT", TSARALALANA ANTANANARIVO    ,info@mada-business.com,S CONSULTING,(+261) 324 20 81 68,
TRANSPORT LOGISTICS, AMPASANIMALO ANTANANARIVO    ,info@logistique-pk.com,LPK,(+261) 34 97 991 58,
TRANSPORT LOGISTICS, LOT LE 124 AMBOHITSOA AMBATOLAMPY    ,contact@tour-guide-lovemada.mg,TOUR GUIDE LOVEMADA,(+261) 34 47 649 19,www.logistique-pk.com    
TRAVEL AGENCIES, IAV 269 ANTANANARIVO    ,desiretraveltours@gmail.com,DESIRE TRAVEL TOURS,(+261) 331 10 86 51,
TRAVEL AGENCIES, LOT II B 37 BIS AMPANDRANA OUEST ANTANANARIVO    ,info@great-madagascar-tours.com,GREAT MADAGASCAR TOURS,(+261) 20 22 287 00,www.desire-travel.netii.net    
TRAVEL AGENCIES, AMBOHIJANAHARY TANANARIVE    ,seoelyseemada@gmail.com,HARRIS MADATOUR,(+261) 68 94 578 00,
TRAVEL AGENCIES, LOT II I 120B BIS ALAROBIA AMBONILOHA ANTANANARIVO    ,rdinah@intekom.co.za,JABEZ TOURS,(+261) 202 24 22 09,www.great-madagascar-tours.com    
TRAVEL AGENCIES," LOT 344 BIS MD MANDROSOA, IVATO ANTANANARIVO    ",angence@lakanavoyage.com,LAKANA VOYAGE,(+261) 32 45 532 94,
TRAVEL AGENCIES, ... ANTANANARIVO    ,info@madagascar-avventura.com,MADAGASCAR AVVENTURA,(+261) 332 00 33 53,www.harris-madagascar-tourisme.com    
TRAVEL AGENCIES, LOGT 436 CITE 67 HA ANTANANARIVO    ,stanbycar@yahoo.fr,MADAGASCAR BY CAR,(+261) 34 07 748 64,
TRAVEL AGENCIES, LOT 02 A 230 AMBALAVATO ANTSIRABE    ,madagascarevasionagency@hotmail.fr,MADAGASCAR EVASION TOURS,(+261) 20 44 959 32,www.jabeztours.co.za    
TRAVEL AGENCIES," AKANY LOVASOA LOT 192 AT AMBOROY, ANTEHIROKA 105 ANTANANARIVO    ",info@madagascar-visit-tours.com,MTV TOURS,(+261) 32 42 545 14,
TRAVEL AGENCIES, 11 20 B 164 MIARAMASOANDRO ANTSIRABE    ,temt.madatours@yahoo.de,TONGASOA ETO MADAGASIKARA TOURS,(+261) 33 83 259 61,www.lakanavoyage.com    
"TRAVEL AGENCIES, INCOMING TOURS OPERATORS", IMMEUBLE IRRESISTIBLE BEHORIRIKA ANTANANARIVO 101    ,amadatours2017@gmail.com,AMADA TOURS,(+261) 34 17 516 09,
"TRAVEL AGENCIES, INCOMING TOURS OPERATORS", LOT 113 TER AMBOHIJANAHARY IVATO ANTANANARIVO   ,dolphinrivertravel@gmail.com,DOLPHIN RIVER TRAVEL,(+261) 34 929 20 27 77,https://amazingmadagascartours.com    
"TRAVEL AGENCIES, INCOMING TOURS OPERATORS", LOT 2 PE 11 TER SOAVINIMERINA    ,resa@madagascar-green-island-discovery.com,GREEN ISLAND DISCOVERY,(+261) 34 95,
"TRAVEL AGENCIES, INCOMING TOURS OPERATORS", LOT 320 B 166 AMBOHIMENIA ANTSIRABE    ,ldtmagency@gmail.com,LONELY DREAM TOURS MADAGASCAR,(+261) 34 19 629 57,
"TRAVEL AGENCIES, INCOMING TOURS OPERATORS", LOT 156 FKTA TALATAMATY ANTANANARIVO    ,infos@madagasikara-voyages.com,MADAGASCAR VOYAGES,(+261) 34 923 08 48,www.madagascar-green-island-discovery.com    
"TRAVEL AGENCIES, INCOMING TOURS OPERATORS", LOT II K 6 ANKADIVATO AMBONY MANGARIVOTRA FARAVOHITRA    ,echangearticle@gmail.com,MADCAMELEON,(+261) 20 22 630 86,
"TRAVEL AGENCIES, INCOMING TOURS OPERATORS", LOT 1116 E 46 ANTSIRABE    ,info@organisation-voyagesmadagascar.com,MI VOYAGES MADAGASCAR,(+261) 37 37 471 94,www.lonelydream-toursmadagascar.com    
"TRAVEL AGENCIES, INCOMING TOURS OPERATORS", LOT LE 124 AMBOHITSOA AMBANIMASO AMBATOLAMPY    ,tourguidelovemada@gmail.com,TOUR GUIDE LOVEMADA,(+261) 34 476 49 19,
"TRAVEL AGENCIES, INCOMING TOURS OPERATORS"," HAUTE VILLE, LOT N 37 E ANTSOHHY ANTSOHIHY   ",georgesmohammadraza@gmail.com,TRANOMBAROTRA PALOMA,(+261) 032 05 007 10,www.madagasikara-voyages.com    
"TRAVEL AGENCIES, INCOMING TOURS OPERATORS", RUE BENOWSKY ANTSIRANANA    ,contact@tropikaly.com,TROPIKALY,(+261) 32 62 887 71,
"VOYANCE, MEDIUM"," 10, RUE ST JUST 94200 IVRY SUR SEINE    ",soures.h@free.fr,SOURES,+33 (0) 145 21 00 00 +33 (0) 145 21 96 23,
CARS & DEALERS, BP. 1516 ANTANANARIVO    ,mater@materauto.com,MATERAUTO,(+261) 202 22 33 39 (+261) 202 23 37 29,
CARS & DEALERS, ENCEINTE OMAVET NANISANA ANTANANARIVO   ,ogarage.mada@gmail.com,O GARAGE MAXISERVICE,(+261) 32 05 231 15,www.materauto.mg    
CARS & DEALERS, BP. 21 ANTANANARIVO   ,oceantra@moov.mg,OCEAN TRADE C°,(+261) 20 22 303 05 (+261) 20 22 303 30,
CARS & DEALERS, BP. 44 ANTANANARIVO    ,sicam@sicam.mg,SICAM,(+261) 202 23 25 24 (+261) 202 23 36 73,
CARS & DEALERS, BP. 83 ANTANANARIVO   ,yamahamg@cfao.com,SOCIMEX,(+261) 20 22 275 00 (+261) 20 22 336 73,
CARS & DEALERS, BP. 377 ANTANANARIVO   ,sodiama@moov.mg,SODIAMA,(+261) 202 22 26 93 (+261) 202 22 73 33,www.sicam.mg    
CARS & DEALERS, BP. 652 ANTANANARIVO   ,scom.sodirex@netclub.mg,SODIREX,(+261) 202 22 74 30 (+261) 202 22 74 24,
CARS & DEALERS," 23, RUE KASANGA ANTANANARIVO   ",safarta@moov.mg,SUPREME,(+261) 202 25 57 73 (+261) 202 26 97 11,
CARS & DEALERS, TSIADANA ANTANANARIVO    ,tomobil.agency@gmail.com,TOMOBIL AGENCY,(+261) 034 09 393 46,
CARS & DEALERS," AMBALAMANASY, RTE AEROPORT TAMATAVE   ",rasseta.tamatave@gmail.com,TOYOTA RASSETA,(+261) 33 11 336 08,
AGRO-INDUSTRY, TALATAMATY ANTANANARIVO   ,tradeunion@malagasy.com,TRADE UNION,(+261) 202 24 57 79 (+261) 202 24 57 79,
AGRO-INDUSTRY, BP. 726 101 ANTANANARIVO    ,gfn.backoffice@trimeta.mg,TRIMETA GROUP,(+261) 202 24 69 42 (+261) 202 24 61 36,
FOOD-PROCESSING INDUSTRY, BP. 201 ANTANANARIVO   ,lahutte@moov.mg,LA HUTTE CANADIENNE,(+261) 202 24 42 65 (+261) 202 24 57 73,
FOOD-PROCESSING INDUSTRY, BP. 372 AMBOSITRA   ,pepiniere.mania@moov.mg,LA PEPINIERE DE LA MANIA,(+261) 204 77 12 35 (+261) 204 44 97 09,
FOOD-PROCESSING INDUSTRY, BP. 207 ANTANANARIVO   ,lecofruit@olmjb.com,LECOFRUIT,(+261) 202 22 23 73 (+261) 202 22 80 64,
FOOD-PROCESSING INDUSTRY, IAV 313 G IAVOLOHA ANTANANARIVO    ,sales@madagascar-market.com,MADAMARKET EXPORT,(+261) 34 05 790 55,
FOOD-PROCESSING INDUSTRY, BP. 5152 ANTANANARIVO   ,sipromad@moov.mg,MADINCO,(+261) 202 26 93 98 (+261) 202 26 93 98,www.madagascar-market.com    
FOOD-PROCESSING INDUSTRY, IVATO AEROPORT ANTANANARIVO   ,,MAISON SAVOUR,(+261) 202 24 53 28,
FOOD-PROCESSING INDUSTRY, IVANDRY ANTANANARIVO   ,iet@moov.mg,MIEAGE,(+261) 202 42 56 30 (+261) 202 24 33 34,
FOOD-PROCESSING INDUSTRY, ANKORONDRANO ANTANANARIVO   ,nestleseatrading@iris.mg,NESTLE SEA TRADING,(+261) 202 24 29 80 (+261) 202 24 29 48,
FOOD-PROCESSING INDUSTRY, BP. 8499 ANTANANARIVO   ,picor@moov.mg,PICOR,(+261) 202 22 56 43 (+261) 202 22 56 65,
"AGRICULTURE, PRODUCTS", BP. 12198 ANTANANARIVO   ,scim1@moov.mg,SCIM MADAGASCAR,(+261) 202 24 93 63 (+261) 202 24 93 66,
"AGRICULTURE, PRODUCTS", BP. 17 TOAMASINA   ,scimtve@moov.mg,SCIM MADAGASCAR,(+261) 205 33 29 02 (+261) 205 33 33 18,
"AGRICULTURE, PRODUCTS", BP. 134 ANTANANARIVO   ,sepcm@simicro.mg,SEPCM,(+261) 202 22 91 46 (+261) 202 22 91 63,
"AGRICULTURE, PRODUCTS", BP. 8582 ANTANANARIVO    ,export@stoigroup.com,STOI,(+261) 20 22 418 51,
AGRICULTURE, ALAKAMISY ANTANANARIVO   ,,RIZERIE MPIVAHINY,(+261) 202 22 83 20,
AGRICULTURE, ANDOHATAPENAKA ANTANANARIVO   ,,RIZERIE RABEHAJA RICHARD,(+261) 202 23 26 82,
AGRICULTURE," 40BIS, ALAKAMISY ANTANANARIVO   ",,RIZERIE RAKOTONANDRASANA JEAN,(+261) 202 22 83 01,
AGRICULTURE, AMBODIMITA ANTANANARIVO   ,,RIZERIE RANAIVOSON JEAN BAPTISTE,(+261) 202 26 18 03,www.soavoanio.mg    
AGRICULTURE, RTE MAHAJANGA ANTANANARIVO   ,,RIZERIE RAZAKAMANANA,(+261) 202 22 79 02,
AGRICULTURE, LOT II I 84 A ALAROBIA AMBONILOHA ANTANANARIVO   ,artemisiaj@yahoo.fr,SARLU FFF,(+261) 20 22 535 81,www.tozzigreen.com    
TOURIST TRANSPORT, SAINTE MARIE    ,cap-sainte-marie@moov.mg,CAP SAINTE MARIE,(+261) 205 74 04 06,
TOURIST TRANSPORT, LOT 5V8 TANAMBAO MANANJARY    ,aventurespangalanes@gmail.com,PANGALANES AVENTURES,(+261) 33 74 019 79,www.cap-sainte-marie.com    
TOURIST TRANSPORT," 26, RTE CIRCULAIRE ANTANANARIVO   ",transerre@moov.mg,TRANS ERRE,(+261) 202 23 71 56 (+261) 202 22 82 10,
ASSOCIATIONS, AMBOHIMANARINA ANTANANARIVO   ,,ASSOCIATION FRANCE MADAGASCAR,(+261) 202 24 49 31,
ASSOCIATIONS, RUE SOAINANDRIANA ANTANANARIVO   ,,ASSOCIATION GIGARD & ROBIC,(+261) 202 24 18 21,
ASSOCIATIONS, ANOSY ANTANANARIVO   ,,ASSOCIATION MANAODE,(+261) 202 22 29 67,
ASSOCIATIONS, MAHAZOARIVO ANTANANARIVO   ,,ASSOCIATION MCAR ALZHEIMER,(+261) 202 26 12 02,
ANIMAL HUSBANDRY, BLD RATSIMANDRAVA ANTANANARIVO   ,,LIMA HOLDING,(+261) 202 22 88 37,
ANIMAL HUSBANDRY, BP. 579 ANTANANARIVO   ,mpe@simicro.mg,MPE,(+261) 202 24 16 60 (+261) 202 24 12 54,
ANIMAL HUSBANDRY, BP. 8271 ANTANANARIVO   ,pv@agrichimad.mg,POINT VERT,(+261) 202 36 64 41 (+261) 202 32 52 59,
ANIMAL HUSBANDRY, BP. 563 ANTANANARIVO    ,reptel@moov.mg,REPTEL,(+261) 202 20 07 15 (+261) 202 20 70 49,www.reptel.mg    
ANIMAL HUSBANDRY, ANALAMAHITSY ANTANANARIVO   ,sopramad@moov.mg,SOPRAMAD,(+261) 202 24 33 68 (+261) 202 24 37 99,
